Invoice_no,Received Date,Processed Date,Amount,Assigned To,Date,Transaction Number,Trans Name,Transaction Description,Debit,Credit,Balance,Days_Taken
INV027,2023-12-30,2024-01-01,4818.56,acctnt_1,2024-01-01,7026,Salaries Expense,Equipment Purchase,4818.56,0.0,5013,2
INV028,2024-01-01,2024-01-01,733.91,acctnt_4,2024-01-01,7027,Revenue - Consulting,Invoice Payment,0.0,733.91,5747,0
INV029,2023-12-30,2024-01-01,1185.78,acctnt_2,2024-01-01,7028,Software Subscriptions,Software Purchase,1185.78,0.0,4561,2
INV030,2023-12-27,2024-01-01,2704.55,acctnt_4,2024-01-01,7029,Revenue - Consulting,Salary Expense,0.0,2704.55,7266,5
INV031,2023-12-29,2024-01-01,4126.31,acctnt_1,2024-01-01,7030,Revenue - Consulting,Cloud Service Renewal,0.0,4126.31,11392,3
INV032,2023-12-29,2024-01-01,817.78,acctnt_1,2024-01-01,7031,Revenue - Consulting,Equipment Purchase,0.0,817.78,12210,3
INV033,2023-12-31,2024-01-02,3196.68,acctnt_3,2024-01-02,7032,Salaries Expense,Software Purchase,3196.68,0.0,9013,2
INV034,2024-01-01,2024-01-02,722.92,acctnt_2,2024-01-02,7033,Revenue - Consulting,Client Payment,0.0,722.92,9736,1
INV035,2024-01-01,2024-01-02,4074.26,acctnt_1,2024-01-02,7034,Accounts Receivable,Client Payment,0.0,4074.26,13810,1
INV036,2023-12-27,2024-01-02,4678.22,acctnt_1,2024-01-02,7035,Salaries Expense,Salary Expense,4678.22,0.0,9132,6
INV037,2023-12-31,2024-01-02,1983.03,acctnt_1,2024-01-02,7036,Software Subscriptions,Client Payment,1983.03,0.0,7149,2
INV038,2023-12-27,2024-01-02,2420.61,acctnt_5,2024-01-02,7037,Revenue - Consulting,Cloud Service Renewal,0.0,2420.61,9570,6
INV039,2023-12-26,2024-01-02,1516.03,acctnt_4,2024-01-02,7038,Salaries Expense,Office Rent,1516.03,0.0,8054,7
INV040,2023-12-27,2024-01-02,176.53,acctnt_1,2024-01-02,7039,Salaries Expense,Equipment Purchase,176.53,0.0,7877,6
INV041,2023-12-28,2024-01-02,3406.49,acctnt_5,2024-01-02,7040,Salaries Expense,Software Purchase,3406.49,0.0,4471,5
INV042,2024-01-01,2024-01-02,699.54,acctnt_5,2024-01-02,7041,Salaries Expense,Software Purchase,699.54,0.0,3771,1
INV043,2023-12-30,2024-01-02,3087.74,acctnt_2,2024-01-02,7042,Revenue - Consulting,Invoice Payment,0.0,3087.74,6859,3
INV044,2023-12-26,2024-01-02,2769.84,acctnt_6,2024-01-02,7043,Revenue - Consulting,Software Purchase,0.0,2769.84,9629,7
INV045,2023-12-26,2024-01-02,1032.71,acctnt_4,2024-01-02,7044,Salaries Expense,Software Purchase,1032.71,0.0,8596,7
INV046,2024-01-02,2024-01-02,1423.47,acctnt_4,2024-01-02,7045,Salaries Expense,Software Purchase,1423.47,0.0,7173,0
INV047,2023-12-27,2024-01-02,4277.66,acctnt_1,2024-01-02,7046,Revenue - Software Sales,Client Payment,0.0,4277.66,11450,6
INV048,2024-01-02,2024-01-02,2361.53,acctnt_5,2024-01-02,7047,Office Rent,Salary Expense,2361.53,0.0,9089,0
INV049,2023-12-29,2024-01-02,1885.18,acctnt_4,2024-01-02,7048,Accounts Payable,Equipment Purchase,1885.18,0.0,7203,4
INV050,2023-12-30,2024-01-02,1283.74,acctnt_3,2024-01-02,7049,Salaries Expense,Equipment Purchase,1283.74,0.0,5920,3
INV051,2023-12-30,2024-01-02,2029.82,acctnt_4,2024-01-02,7050,Revenue - Software Sales,Invoice Payment,0.0,2029.82,7950,3
INV052,2023-12-28,2024-01-02,551.84,acctnt_1,2024-01-02,7051,Revenue - Software Sales,Office Rent,0.0,551.84,8501,5
INV053,2023-12-29,2024-01-02,2490.34,acctnt_6,2024-01-02,7052,Revenue - Consulting,Salary Expense,0.0,2490.34,10992,4
INV054,2023-12-28,2024-01-02,3056.32,acctnt_4,2024-01-02,7053,Revenue - Consulting,Maintenance Fee,0.0,3056.32,14048,5
INV055,2023-12-31,2024-01-02,4900.4,acctnt_5,2024-01-02,7054,Revenue - Consulting,Office Rent,0.0,4900.4,18948,2
INV056,2023-12-31,2024-01-02,4703.84,acctnt_4,2024-01-02,7055,Equipment Purchase,Cloud Service Renewal,4703.84,0.0,14245,2
INV057,2023-12-30,2024-01-02,3313.94,acctnt_5,2024-01-02,7056,Revenue - Software Sales,Office Rent,0.0,3313.94,17559,3
INV058,2023-12-31,2024-01-03,4663.18,acctnt_3,2024-01-03,7057,Software Subscriptions,Maintenance Fee,4663.18,0.0,12895,3
INV059,2023-12-28,2024-01-03,1737.51,acctnt_4,2024-01-03,7058,Revenue - Consulting,Cloud Service Renewal,0.0,1737.51,14633,6
INV060,2023-12-28,2024-01-03,684.38,acctnt_1,2024-01-03,7059,Salaries Expense,Cloud Service Renewal,684.38,0.0,13948,6
INV061,2023-12-29,2024-01-03,3486.4,acctnt_4,2024-01-03,7060,Salaries Expense,Office Rent,3486.4,0.0,10462,5
INV062,2024-01-01,2024-01-03,3692.74,acctnt_5,2024-01-03,7061,Accounts Payable,Office Rent,3692.74,0.0,6769,2
INV063,2024-01-03,2024-01-03,2316.13,acctnt_3,2024-01-03,7062,Accounts Payable,Client Payment,2316.13,0.0,4453,0
INV064,2023-12-31,2024-01-03,3769.35,acctnt_1,2024-01-03,7063,Revenue - Consulting,Software Purchase,0.0,3769.35,8223,3
INV065,2023-12-31,2024-01-03,521.69,acctnt_3,2024-01-03,7064,Revenue - Software Sales,Office Rent,0.0,521.69,8744,3
INV066,2023-12-27,2024-01-03,1008.66,acctnt_2,2024-01-03,7065,Salaries Expense,Office Rent,1008.66,0.0,7736,7
INV067,2023-12-27,2024-01-03,454.54,acctnt_1,2024-01-03,7066,Revenue - Consulting,Client Payment,0.0,454.54,8190,7
INV068,2023-12-29,2024-01-03,3741.59,acctnt_3,2024-01-03,7067,Revenue - Software Sales,Client Payment,0.0,3741.59,11932,5
INV069,2023-12-30,2024-01-03,4217.59,acctnt_5,2024-01-03,7068,Revenue - Software Sales,Office Rent,0.0,4217.59,16149,4
INV070,2024-01-02,2024-01-03,3879.72,acctnt_4,2024-01-03,7069,Software Subscriptions,Cloud Service Renewal,3879.72,0.0,12270,1
INV071,2024-01-02,2024-01-03,3460.57,acctnt_4,2024-01-03,7070,Accounts Payable,Invoice Payment,3460.57,0.0,8809,1
INV072,2023-12-31,2024-01-03,3614.96,acctnt_6,2024-01-03,7071,Office Rent,Office Rent,3614.96,0.0,5194,3
INV073,2023-12-29,2024-01-03,1817.58,acctnt_1,2024-01-03,7072,Revenue - Consulting,Cloud Service Renewal,0.0,1817.58,7012,5
INV074,2023-12-27,2024-01-03,3857.71,acctnt_6,2024-01-03,7073,Accounts Receivable,Client Payment,0.0,3857.71,10869,7
INV075,2023-12-30,2024-01-03,1515.7,acctnt_1,2024-01-03,7074,Revenue - Consulting,Salary Expense,0.0,1515.7,12385,4
INV076,2023-12-30,2024-01-03,2031.95,acctnt_6,2024-01-03,7075,Software Subscriptions,Maintenance Fee,2031.95,0.0,10353,4
INV077,2024-01-03,2024-01-03,4119.64,acctnt_5,2024-01-03,7076,Software Subscriptions,Office Rent,4119.64,0.0,6233,0
INV078,2024-01-02,2024-01-03,1320.4,acctnt_2,2024-01-03,7077,Salaries Expense,Cloud Service Renewal,1320.4,0.0,4913,1
INV079,2024-01-02,2024-01-03,4085.63,acctnt_5,2024-01-03,7078,Equipment Purchase,Client Payment,4085.63,0.0,827,1
INV080,2024-01-03,2024-01-03,3153.6,acctnt_4,2024-01-03,7079,Revenue - Consulting,Software Purchase,0.0,3153.6,3981,0
INV081,2023-12-29,2024-01-03,1240.63,acctnt_6,2024-01-03,7080,Revenue - Consulting,Software Purchase,0.0,1240.63,5222,5
INV082,2024-01-01,2024-01-03,4754.37,acctnt_4,2024-01-03,7081,Revenue - Software Sales,Invoice Payment,0.0,4754.37,9976,2
INV083,2024-01-01,2024-01-03,1130.7,acctnt_1,2024-01-03,7082,Revenue - Consulting,Equipment Purchase,0.0,1130.7,11107,2
INV084,2023-12-29,2024-01-03,2047.26,acctnt_1,2024-01-03,7083,Salaries Expense,Client Payment,2047.26,0.0,9059,5
INV085,2023-12-29,2024-01-03,3334.89,acctnt_5,2024-01-03,7084,Office Rent,Software Purchase,3334.89,0.0,5725,5
INV086,2024-01-03,2024-01-03,1800.75,acctnt_2,2024-01-03,7085,Accounts Receivable,Client Payment,0.0,1800.75,7525,0
INV087,2024-01-03,2024-01-03,4118.9,acctnt_1,2024-01-03,7086,Accounts Payable,Maintenance Fee,4118.9,0.0,3406,0
INV088,2023-12-29,2024-01-03,2716.61,acctnt_5,2024-01-03,7087,Revenue - Consulting,Software Purchase,0.0,2716.61,6123,5
INV089,2024-01-02,2024-01-03,4590.8,acctnt_6,2024-01-03,7088,Revenue - Consulting,Equipment Purchase,0.0,4590.8,10714,1
INV090,2023-12-28,2024-01-03,4154.76,acctnt_2,2024-01-03,7089,Office Rent,Equipment Purchase,4154.76,0.0,6559,6
INV091,2023-12-29,2024-01-03,4661.36,acctnt_1,2024-01-03,7090,Revenue - Consulting,Equipment Purchase,0.0,4661.36,11220,5
INV092,2024-01-01,2024-01-03,791.4,acctnt_3,2024-01-03,7091,Revenue - Consulting,Equipment Purchase,0.0,791.4,12012,2
INV093,2024-01-02,2024-01-04,1384.83,acctnt_2,2024-01-04,7092,Salaries Expense,Equipment Purchase,1384.83,0.0,10627,2
INV094,2024-01-01,2024-01-04,3533.31,acctnt_3,2024-01-04,7093,Revenue - Consulting,Invoice Payment,0.0,3533.31,14160,3
INV095,2024-01-04,2024-01-04,3072.44,acctnt_3,2024-01-04,7094,Equipment Purchase,Invoice Payment,3072.44,0.0,11088,0
INV096,2023-12-31,2024-01-04,4337.5,acctnt_4,2024-01-04,7095,Accounts Receivable,Software Purchase,0.0,4337.5,15425,4
INV097,2024-01-03,2024-01-04,497.25,acctnt_5,2024-01-04,7096,Revenue - Software Sales,Client Payment,0.0,497.25,15923,1
INV098,2023-12-29,2024-01-04,3001.65,acctnt_6,2024-01-04,7097,Salaries Expense,Office Rent,3001.65,0.0,12921,6
INV099,2024-01-01,2024-01-04,601.0,acctnt_1,2024-01-04,7098,Software Subscriptions,Software Purchase,601.0,0.0,12320,3
INV100,2024-01-01,2024-01-04,2951.95,acctnt_4,2024-01-04,7099,Revenue - Consulting,Office Rent,0.0,2951.95,15272,3
INV101,2023-12-28,2024-01-04,4350.6,acctnt_5,2024-01-04,7100,Accounts Receivable,Invoice Payment,0.0,4350.6,19623,7
INV102,2023-12-31,2024-01-04,2443.81,acctnt_2,2024-01-04,7101,Salaries Expense,Maintenance Fee,2443.81,0.0,17179,4
INV103,2024-01-03,2024-01-04,1959.42,acctnt_1,2024-01-04,7102,Salaries Expense,Equipment Purchase,1959.42,0.0,15219,1
INV104,2024-01-01,2024-01-04,1920.35,acctnt_1,2024-01-04,7103,Revenue - Consulting,Invoice Payment,0.0,1920.35,17140,3
INV105,2023-12-28,2024-01-04,2789.75,acctnt_2,2024-01-04,7104,Revenue - Consulting,Equipment Purchase,0.0,2789.75,19929,7
INV106,2023-12-29,2024-01-04,1136.58,acctnt_3,2024-01-04,7105,Revenue - Consulting,Cloud Service Renewal,0.0,1136.58,21066,6
INV107,2024-01-04,2024-01-04,2889.45,acctnt_4,2024-01-04,7106,Accounts Receivable,Office Rent,0.0,2889.45,23955,0
INV108,2023-12-30,2024-01-04,1931.86,acctnt_5,2024-01-04,7107,Revenue - Consulting,Office Rent,0.0,1931.86,25887,5
INV109,2024-01-02,2024-01-04,126.29,acctnt_6,2024-01-04,7108,Revenue - Consulting,Software Purchase,0.0,126.29,26014,2
INV110,2024-01-03,2024-01-04,3803.82,acctnt_4,2024-01-04,7109,Revenue - Consulting,Client Payment,0.0,3803.82,29817,1
INV111,2024-01-03,2024-01-04,4507.14,acctnt_1,2024-01-04,7110,Revenue - Consulting,Office Rent,0.0,4507.14,34325,1
INV112,2023-12-29,2024-01-04,4198.84,acctnt_4,2024-01-04,7111,Revenue - Consulting,Office Rent,0.0,4198.84,38523,6
INV113,2024-01-01,2024-01-04,655.88,acctnt_1,2024-01-04,7112,Software Subscriptions,Salary Expense,655.88,0.0,37868,3
INV114,2024-01-03,2024-01-04,3070.72,acctnt_1,2024-01-04,7113,Revenue - Consulting,Client Payment,0.0,3070.72,40938,1
INV115,2023-12-29,2024-01-04,4567.76,acctnt_3,2024-01-04,7114,Salaries Expense,Invoice Payment,4567.76,0.0,36370,6
INV116,2024-01-04,2024-01-04,200.15,acctnt_2,2024-01-04,7115,Revenue - Consulting,Client Payment,0.0,200.15,36571,0
INV117,2023-12-31,2024-01-04,2154.7,acctnt_2,2024-01-04,7116,Revenue - Consulting,Salary Expense,0.0,2154.7,38725,4
INV118,2024-01-02,2024-01-04,2845.85,acctnt_5,2024-01-04,7117,Salaries Expense,Cloud Service Renewal,2845.85,0.0,35879,2
INV119,2024-01-04,2024-01-04,1658.73,acctnt_3,2024-01-04,7118,Revenue - Consulting,Software Purchase,0.0,1658.73,37538,0
INV120,2024-01-02,2024-01-04,398.35,acctnt_5,2024-01-04,7119,Accounts Receivable,Equipment Purchase,0.0,398.35,37937,2
INV121,2024-01-04,2024-01-04,4658.61,acctnt_5,2024-01-04,7120,Accounts Receivable,Salary Expense,0.0,4658.61,42595,0
INV122,2023-12-29,2024-01-05,4267.28,acctnt_3,2024-01-05,7121,Equipment Purchase,Software Purchase,4267.28,0.0,38328,7
INV123,2023-12-30,2024-01-05,3635.55,acctnt_5,2024-01-05,7122,Revenue - Consulting,Maintenance Fee,0.0,3635.55,41963,6
INV124,2024-01-04,2024-01-05,1134.9,acctnt_1,2024-01-05,7123,Accounts Payable,Maintenance Fee,1134.9,0.0,40829,1
INV125,2023-12-29,2024-01-05,3722.72,acctnt_2,2024-01-05,7124,Software Subscriptions,Client Payment,3722.72,0.0,37106,7
INV126,2024-01-01,2024-01-05,3702.01,acctnt_2,2024-01-05,7125,Revenue - Consulting,Equipment Purchase,0.0,3702.01,40808,4
INV127,2023-12-30,2024-01-05,1116.36,acctnt_1,2024-01-05,7126,Revenue - Consulting,Software Purchase,0.0,1116.36,41924,6
INV128,2024-01-01,2024-01-05,1884.86,acctnt_5,2024-01-05,7127,Accounts Payable,Invoice Payment,1884.86,0.0,40039,4
INV129,2024-01-02,2024-01-05,3087.14,acctnt_3,2024-01-05,7128,Revenue - Consulting,Cloud Service Renewal,0.0,3087.14,43126,3
INV130,2024-01-04,2024-01-05,4227.62,acctnt_6,2024-01-05,7129,Accounts Receivable,Office Rent,0.0,4227.62,47354,1
INV131,2024-01-02,2024-01-05,2345.98,acctnt_2,2024-01-05,7130,Office Rent,Client Payment,2345.98,0.0,45008,3
INV132,2024-01-02,2024-01-05,2660.34,acctnt_4,2024-01-05,7131,Revenue - Consulting,Client Payment,0.0,2660.34,47668,3
INV133,2023-12-29,2024-01-05,1452.18,acctnt_5,2024-01-05,7132,Revenue - Consulting,Software Purchase,0.0,1452.18,49121,7
INV134,2023-12-30,2024-01-05,2054.85,acctnt_2,2024-01-05,7133,Software Subscriptions,Office Rent,2054.85,0.0,47066,6
INV135,2024-01-01,2024-01-05,3280.65,acctnt_5,2024-01-05,7134,Office Rent,Client Payment,3280.65,0.0,43785,4
INV136,2024-01-02,2024-01-05,1230.57,acctnt_5,2024-01-05,7135,Revenue - Consulting,Office Rent,0.0,1230.57,45016,3
INV137,2024-01-05,2024-01-05,460.04,acctnt_6,2024-01-05,7136,Accounts Receivable,Salary Expense,0.0,460.04,45476,0
INV138,2024-01-02,2024-01-05,1695.87,acctnt_6,2024-01-05,7137,Revenue - Consulting,Office Rent,0.0,1695.87,47172,3
INV139,2024-01-03,2024-01-05,606.39,acctnt_4,2024-01-05,7138,Office Rent,Maintenance Fee,606.39,0.0,46565,2
INV140,2024-01-01,2024-01-05,1910.05,acctnt_3,2024-01-05,7139,Equipment Purchase,Equipment Purchase,1910.05,0.0,44655,4
INV141,2023-12-30,2024-01-05,1383.34,acctnt_2,2024-01-05,7140,Software Subscriptions,Office Rent,1383.34,0.0,43272,6
INV142,2023-12-30,2024-01-05,2254.39,acctnt_3,2024-01-05,7141,Revenue - Consulting,Cloud Service Renewal,0.0,2254.39,45526,6
INV143,2024-01-04,2024-01-05,2153.91,acctnt_3,2024-01-05,7142,Revenue - Consulting,Software Purchase,0.0,2153.91,47680,1
INV144,2023-12-30,2024-01-05,3210.61,acctnt_2,2024-01-05,7143,Salaries Expense,Software Purchase,3210.61,0.0,44470,6
INV145,2023-12-29,2024-01-05,392.14,acctnt_4,2024-01-05,7144,Equipment Purchase,Invoice Payment,392.14,0.0,44077,7
INV146,2023-12-31,2024-01-05,4559.66,acctnt_5,2024-01-05,7145,Office Rent,Software Purchase,4559.66,0.0,39518,5
INV147,2023-12-31,2024-01-06,518.28,acctnt_3,2024-01-06,7146,Revenue - Consulting,Maintenance Fee,0.0,518.28,40036,6
INV148,2024-01-06,2024-01-06,1174.34,acctnt_1,2024-01-06,7147,Revenue - Software Sales,Office Rent,0.0,1174.34,41210,0
INV149,2024-01-01,2024-01-06,464.4,acctnt_4,2024-01-06,7148,Revenue - Consulting,Cloud Service Renewal,0.0,464.4,41675,5
INV150,2024-01-03,2024-01-06,626.22,acctnt_1,2024-01-06,7149,Revenue - Consulting,Office Rent,0.0,626.22,42301,3
INV151,2023-12-30,2024-01-06,883.71,acctnt_1,2024-01-06,7150,Accounts Receivable,Cloud Service Renewal,0.0,883.71,43185,7
INV152,2024-01-02,2024-01-06,3413.88,acctnt_6,2024-01-06,7151,Revenue - Software Sales,Equipment Purchase,0.0,3413.88,46599,4
INV153,2024-01-04,2024-01-06,2065.44,acctnt_3,2024-01-06,7152,Office Rent,Cloud Service Renewal,2065.44,0.0,44533,2
INV154,2024-01-03,2024-01-06,1773.84,acctnt_4,2024-01-06,7153,Salaries Expense,Office Rent,1773.84,0.0,42759,3
INV155,2024-01-01,2024-01-06,2142.06,acctnt_6,2024-01-06,7154,Accounts Payable,Client Payment,2142.06,0.0,40617,5
INV156,2023-12-31,2024-01-06,560.44,acctnt_1,2024-01-06,7155,Revenue - Consulting,Office Rent,0.0,560.44,41178,6
INV157,2023-12-31,2024-01-06,1493.01,acctnt_4,2024-01-06,7156,Office Rent,Equipment Purchase,1493.01,0.0,39685,6
INV158,2024-01-01,2024-01-06,3004.5,acctnt_1,2024-01-06,7157,Revenue - Consulting,Office Rent,0.0,3004.5,42689,5
INV159,2024-01-06,2024-01-06,3439.8,acctnt_3,2024-01-06,7158,Accounts Receivable,Salary Expense,0.0,3439.8,46129,0
INV160,2023-12-31,2024-01-06,2072.94,acctnt_2,2024-01-06,7159,Revenue - Consulting,Office Rent,0.0,2072.94,48202,6
INV161,2023-12-31,2024-01-06,2440.4,acctnt_2,2024-01-06,7160,Equipment Purchase,Equipment Purchase,2440.4,0.0,45761,6
INV162,2024-01-05,2024-01-06,1561.13,acctnt_4,2024-01-06,7161,Revenue - Consulting,Client Payment,0.0,1561.13,47323,1
INV163,2024-01-06,2024-01-06,183.32,acctnt_4,2024-01-06,7162,Revenue - Consulting,Client Payment,0.0,183.32,47506,0
INV164,2024-01-01,2024-01-06,1540.6,acctnt_4,2024-01-06,7163,Revenue - Consulting,Equipment Purchase,0.0,1540.6,49047,5
INV165,2024-01-03,2024-01-06,2201.43,acctnt_6,2024-01-06,7164,Revenue - Software Sales,Salary Expense,0.0,2201.43,51248,3
INV166,2023-12-30,2024-01-06,955.16,acctnt_1,2024-01-06,7165,Equipment Purchase,Invoice Payment,955.16,0.0,50293,7
INV167,2023-12-31,2024-01-06,3884.87,acctnt_5,2024-01-06,7166,Revenue - Consulting,Office Rent,0.0,3884.87,54178,6
INV168,2024-01-03,2024-01-06,1004.81,acctnt_6,2024-01-06,7167,Revenue - Consulting,Equipment Purchase,0.0,1004.81,55182,3
INV169,2024-01-01,2024-01-06,2561.17,acctnt_5,2024-01-06,7168,Revenue - Consulting,Client Payment,0.0,2561.17,57744,5
INV170,2024-01-05,2024-01-06,793.53,acctnt_1,2024-01-06,7169,Revenue - Consulting,Cloud Service Renewal,0.0,793.53,58537,1
INV171,2024-01-02,2024-01-06,200.89,acctnt_4,2024-01-06,7170,Revenue - Consulting,Maintenance Fee,0.0,200.89,58738,4
INV172,2024-01-01,2024-01-06,4478.64,acctnt_5,2024-01-06,7171,Revenue - Consulting,Maintenance Fee,0.0,4478.64,63217,5
INV173,2024-01-01,2024-01-06,821.21,acctnt_5,2024-01-06,7172,Salaries Expense,Maintenance Fee,821.21,0.0,62395,5
INV174,2024-01-06,2024-01-06,776.19,acctnt_2,2024-01-06,7173,Revenue - Consulting,Cloud Service Renewal,0.0,776.19,63172,0
INV175,2024-01-01,2024-01-06,2061.38,acctnt_6,2024-01-06,7174,Revenue - Consulting,Software Purchase,0.0,2061.38,65233,5
INV176,2024-01-02,2024-01-06,655.09,acctnt_6,2024-01-06,7175,Salaries Expense,Equipment Purchase,655.09,0.0,64578,4
INV177,2024-01-01,2024-01-06,3232.31,acctnt_2,2024-01-06,7176,Equipment Purchase,Equipment Purchase,3232.31,0.0,61346,5
INV178,2024-01-05,2024-01-07,3173.65,acctnt_1,2024-01-07,7177,Salaries Expense,Cloud Service Renewal,3173.65,0.0,58172,2
INV179,2024-01-03,2024-01-07,3751.65,acctnt_2,2024-01-07,7178,Revenue - Consulting,Client Payment,0.0,3751.65,61924,4
INV180,2024-01-05,2024-01-07,2192.71,acctnt_6,2024-01-07,7179,Accounts Payable,Cloud Service Renewal,2192.71,0.0,59731,2
INV181,2024-01-07,2024-01-07,1602.69,acctnt_3,2024-01-07,7180,Accounts Receivable,Client Payment,0.0,1602.69,61334,0
INV182,2024-01-04,2024-01-07,899.45,acctnt_2,2024-01-07,7181,Salaries Expense,Maintenance Fee,899.45,0.0,60434,3
INV183,2024-01-05,2024-01-07,4194.52,acctnt_3,2024-01-07,7182,Revenue - Consulting,Office Rent,0.0,4194.52,64629,2
INV184,2024-01-03,2024-01-07,1190.67,acctnt_1,2024-01-07,7183,Software Subscriptions,Office Rent,1190.67,0.0,63438,4
INV185,2024-01-04,2024-01-07,2705.54,acctnt_2,2024-01-07,7184,Revenue - Consulting,Client Payment,0.0,2705.54,66144,3
INV186,2023-12-31,2024-01-07,520.97,acctnt_1,2024-01-07,7185,Revenue - Consulting,Equipment Purchase,0.0,520.97,66665,7
INV187,2024-01-05,2024-01-07,403.35,acctnt_5,2024-01-07,7186,Salaries Expense,Salary Expense,403.35,0.0,66261,2
INV188,2024-01-05,2024-01-07,4059.85,acctnt_4,2024-01-07,7187,Salaries Expense,Invoice Payment,4059.85,0.0,62201,2
INV189,2024-01-06,2024-01-07,2214.37,acctnt_5,2024-01-07,7188,Accounts Payable,Equipment Purchase,2214.37,0.0,59987,1
INV190,2024-01-03,2024-01-07,3585.16,acctnt_5,2024-01-07,7189,Salaries Expense,Maintenance Fee,3585.16,0.0,56402,4
INV191,2024-01-02,2024-01-07,550.94,acctnt_1,2024-01-07,7190,Salaries Expense,Invoice Payment,550.94,0.0,55851,5
INV192,2024-01-07,2024-01-07,4603.9,acctnt_5,2024-01-07,7191,Revenue - Consulting,Office Rent,0.0,4603.9,60455,0
INV193,2024-01-04,2024-01-07,1068.46,acctnt_3,2024-01-07,7192,Salaries Expense,Software Purchase,1068.46,0.0,59386,3
INV194,2024-01-06,2024-01-07,3760.39,acctnt_1,2024-01-07,7193,Salaries Expense,Salary Expense,3760.39,0.0,55626,1
INV195,2024-01-01,2024-01-07,1427.78,acctnt_6,2024-01-07,7194,Software Subscriptions,Cloud Service Renewal,1427.78,0.0,54198,6
INV196,2024-01-03,2024-01-07,4343.8,acctnt_6,2024-01-07,7195,Revenue - Software Sales,Invoice Payment,0.0,4343.8,58542,4
