Date,Transaction Number,Trans Name,Transaction Description,Debit,Credit,Balance
04-01-2024,7110,Revenue - Consulting,Office Rent,0,4507.14,34325
04-01-2024,7111,Revenue - Consulting,Office Rent,0,4198.84,38523
04-01-2024,7112,Software Subscriptions,Salary Expense,655.88,0,37868
04-01-2024,7113,Revenue - Consulting,Client Payment,0,3070.72,40938
04-01-2024,7114,Salaries Expense,Invoice Payment,4567.76,0,36370
04-01-2024,7115,Revenue - Consulting,Client Payment,0,200.15,36571
04-01-2024,7116,Revenue - Consulting,Salary Expense,0,2154.7,38725
04-01-2024,7117,Salaries Expense,Cloud Service Renewal,2845.85,0,35879
04-01-2024,7118,Revenue - Consulting,Software Purchase,0,1658.73,37538
04-01-2024,7119,Accounts Receivable,Equipment Purchase,0,398.35,37937
04-01-2024,7120,Accounts Receivable,Salary Expense,0,4658.61,42595
05-01-2024,7121,Equipment Purchase,Software Purchase,4267.28,0,38328
05-01-2024,7122,Revenue - Consulting,Maintenance Fee,0,3635.55,41963
05-01-2024,7123,Accounts Payable,Maintenance Fee,1134.9,0,40829
05-01-2024,7124,Software Subscriptions,Client Payment,3722.72,0,37106
05-01-2024,7125,Revenue - Consulting,Equipment Purchase,0,3702.01,40808
05-01-2024,7126,Revenue - Consulting,Software Purchase,0,1116.36,41924
05-01-2024,7127,Accounts Payable,Invoice Payment,1884.86,0,40039
05-01-2024,7128,Revenue - Consulting,Cloud Service Renewal,0,3087.14,43126
05-01-2024,7129,Accounts Receivable,Office Rent,0,4227.62,47354
05-01-2024,7130,Office Rent,Client Payment,2345.98,0,45008
05-01-2024,7131,Revenue - Consulting,Client Payment,0,2660.34,47668
05-01-2024,7132,Revenue - Consulting,Software Purchase,0,1452.18,49121
05-01-2024,7133,Software Subscriptions,Office Rent,2054.85,0,47066
05-01-2024,7134,Office Rent,Client Payment,3280.65,0,43785
05-01-2024,7135,Revenue - Consulting,Office Rent,0,1230.57,45016
05-01-2024,7136,Accounts Receivable,Salary Expense,0,460.04,45476
05-01-2024,7137,Revenue - Consulting,Office Rent,0,1695.87,47172
05-01-2024,7138,Office Rent,Maintenance Fee,606.39,0,46565
05-01-2024,7139,Equipment Purchase,Equipment Purchase,1910.05,0,44655
05-01-2024,7140,Software Subscriptions,Office Rent,1383.34,0,43272
05-01-2024,7141,Revenue - Consulting,Cloud Service Renewal,0,2254.39,45526
05-01-2024,7142,Revenue - Consulting,Software Purchase,0,2153.91,47680
05-01-2024,7143,Salaries Expense,Software Purchase,3210.61,0,44470
05-01-2024,7144,Equipment Purchase,Invoice Payment,392.14,0,44077
05-01-2024,7145,Office Rent,Software Purchase,4559.66,0,39518
06-01-2024,7146,Revenue - Consulting,Maintenance Fee,0,518.28,40036
06-01-2024,7147,Revenue - Software Sales,Office Rent,0,1174.34,41210
06-01-2024,7148,Revenue - Consulting,Cloud Service Renewal,0,464.4,41675
06-01-2024,7149,Revenue - Consulting,Office Rent,0,626.22,42301
06-01-2024,7150,Accounts Receivable,Cloud Service Renewal,0,883.71,43185
06-01-2024,7151,Revenue - Software Sales,Equipment Purchase,0,3413.88,46599
06-01-2024,7152,Office Rent,Cloud Service Renewal,2065.44,0,44533
06-01-2024,7153,Salaries Expense,Office Rent,1773.84,0,42759
06-01-2024,7154,Accounts Payable,Client Payment,2142.06,0,40617
06-01-2024,7155,Revenue - Consulting,Office Rent,0,560.44,41178
06-01-2024,7156,Office Rent,Equipment Purchase,1493.01,0,39685
06-01-2024,7157,Revenue - Consulting,Office Rent,0,3004.5,42689
06-01-2024,7158,Accounts Receivable,Salary Expense,0,3439.8,46129
06-01-2024,7159,Revenue - Consulting,Office Rent,0,2072.94,48202
06-01-2024,7160,Equipment Purchase,Equipment Purchase,2440.4,0,45761
06-01-2024,7161,Revenue - Consulting,Client Payment,0,1561.13,47323
06-01-2024,7162,Revenue - Consulting,Client Payment,0,183.32,47506
06-01-2024,7163,Revenue - Consulting,Equipment Purchase,0,1540.6,49047
06-01-2024,7164,Revenue - Software Sales,Salary Expense,0,2201.43,51248
06-01-2024,7165,Equipment Purchase,Invoice Payment,955.16,0,50293
06-01-2024,7166,Revenue - Consulting,Office Rent,0,3884.87,54178
06-01-2024,7167,Revenue - Consulting,Equipment Purchase,0,1004.81,55182
06-01-2024,7168,Revenue - Consulting,Client Payment,0,2561.17,57744
06-01-2024,7169,Revenue - Consulting,Cloud Service Renewal,0,793.53,58537
06-01-2024,7170,Revenue - Consulting,Maintenance Fee,0,200.89,58738
06-01-2024,7171,Revenue - Consulting,Maintenance Fee,0,4478.64,63217
06-01-2024,7172,Salaries Expense,Maintenance Fee,821.21,0,62395
06-01-2024,7173,Revenue - Consulting,Cloud Service Renewal,0,776.19,63172
06-01-2024,7174,Revenue - Consulting,Software Purchase,0,2061.38,65233
06-01-2024,7175,Salaries Expense,Equipment Purchase,655.09,0,64578
06-01-2024,7176,Equipment Purchase,Equipment Purchase,3232.31,0,61346
07-01-2024,7177,Salaries Expense,Cloud Service Renewal,3173.65,0,58172
07-01-2024,7178,Revenue - Consulting,Client Payment,0,3751.65,61924
07-01-2024,7179,Accounts Payable,Cloud Service Renewal,2192.71,0,59731
07-01-2024,7180,Accounts Receivable,Client Payment,0,1602.69,61334
07-01-2024,7181,Salaries Expense,Maintenance Fee,899.45,0,60434
07-01-2024,7182,Revenue - Consulting,Office Rent,0,4194.52,64629
07-01-2024,7183,Software Subscriptions,Office Rent,1190.67,0,63438
07-01-2024,7184,Revenue - Consulting,Client Payment,0,2705.54,66144
07-01-2024,7185,Revenue - Consulting,Equipment Purchase,0,520.97,66665
07-01-2024,7186,Salaries Expense,Salary Expense,403.35,0,66261
07-01-2024,7187,Salaries Expense,Invoice Payment,4059.85,0,62201
07-01-2024,7188,Accounts Payable,Equipment Purchase,2214.37,0,59987
07-01-2024,7189,Salaries Expense,Maintenance Fee,3585.16,0,56402
07-01-2024,7190,Salaries Expense,Invoice Payment,550.94,0,55851
07-01-2024,7191,Revenue - Consulting,Office Rent,0,4603.9,60455
07-01-2024,7192,Salaries Expense,Software Purchase,1068.46,0,59386
07-01-2024,7193,Salaries Expense,Salary Expense,3760.39,0,55626
07-01-2024,7194,Software Subscriptions,Cloud Service Renewal,1427.78,0,54198
07-01-2024,7195,Revenue - Software Sales,Invoice Payment,0,4343.8,58542
07-01-2024,7196,Salaries Expense,Equipment Purchase,1742.59,0,56799
07-01-2024,7197,Revenue - Consulting,Equipment Purchase,0,1370.55,58170
07-01-2024,7198,Salaries Expense,Client Payment,2636.19,0,55534
07-01-2024,7199,Salaries Expense,Client Payment,2460.98,0,53073
07-01-2024,7200,Revenue - Consulting,Equipment Purchase,0,473.21,53546
07-01-2024,7201,Equipment Purchase,Client Payment,4014.39,0,49532
07-01-2024,7202,Software Subscriptions,Software Purchase,2310.26,0,47221
07-01-2024,7203,Accounts Receivable,Office Rent,0,2612.18,49833
07-01-2024,7204,Revenue - Consulting,Equipment Purchase,0,1311.8,51145
07-01-2024,7205,Accounts Receivable,Salary Expense,0,3816.58,54962
07-01-2024,7206,Revenue - Consulting,Maintenance Fee,0,3162.76,58125
07-01-2024,7207,Salaries Expense,Salary Expense,1252.72,0,56872
07-01-2024,7208,Revenue - Software Sales,Salary Expense,0,1741.87,58614
07-01-2024,7209,Revenue - Consulting,Equipment Purchase,0,2688.82,61303
08-01-2024,7210,Software Subscriptions,Client Payment,4638.95,0,56664
08-01-2024,7211,Salaries Expense,Salary Expense,3432.78,0,53231
08-01-2024,7212,Revenue - Consulting,Salary Expense,0,2924.78,56156
08-01-2024,7213,Revenue - Consulting,Software Purchase,0,3355.55,59511
08-01-2024,7214,Revenue - Consulting,Client Payment,0,3843.69,63355
08-01-2024,7215,Revenue - Software Sales,Client Payment,0,709.87,64065
08-01-2024,7216,Revenue - Consulting,Cloud Service Renewal,0,3214.33,67279
08-01-2024,7217,Salaries Expense,Software Purchase,4129.79,0,63149
08-01-2024,7218,Revenue - Consulting,Software Purchase,0,573.61,63723
08-01-2024,7219,Accounts Receivable,Client Payment,0,3770.53,67493
08-01-2024,7220,Salaries Expense,Software Purchase,3673.65,0,63820
08-01-2024,7221,Revenue - Consulting,Equipment Purchase,0,4668.62,68488
08-01-2024,7222,Accounts Receivable,Software Purchase,0,3674.63,72163
08-01-2024,7223,Salaries Expense,Cloud Service Renewal,241.37,0,71922
08-01-2024,7224,Accounts Payable,Equipment Purchase,1135.13,0,70787
08-01-2024,7225,Revenue - Software Sales,Invoice Payment,0,3661.49,74448
08-01-2024,7226,Revenue - Consulting,Software Purchase,0,4564.86,79013
08-01-2024,7227,Revenue - Consulting,Client Payment,0,4297.01,83310
08-01-2024,7228,Accounts Payable,Cloud Service Renewal,4496.83,0,78813
08-01-2024,7229,Equipment Purchase,Equipment Purchase,2121.17,0,76692
08-01-2024,7230,Revenue - Consulting,Salary Expense,0,863.3,77555
08-01-2024,7231,Revenue - Consulting,Software Purchase,0,3050.57,80606
08-01-2024,7232,Equipment Purchase,Cloud Service Renewal,1324.89,0,79281
08-01-2024,7233,Office Rent,Maintenance Fee,2023.27,0,77258
08-01-2024,7234,Salaries Expense,Office Rent,2265.43,0,74992
08-01-2024,7235,Revenue - Consulting,Equipment Purchase,0,1154.09,76146
08-01-2024,7236,Software Subscriptions,Equipment Purchase,1520.14,0,74626
08-01-2024,7237,Revenue - Software Sales,Maintenance Fee,0,1920.56,76547
08-01-2024,7238,Office Rent,Client Payment,4409.26,0,72137
09-01-2024,7239,Revenue - Consulting,Client Payment,0,2214.82,74352
09-01-2024,7240,Accounts Receivable,Maintenance Fee,0,522.95,74875
09-01-2024,7241,Revenue - Consulting,Office Rent,0,1882.58,76758
09-01-2024,7242,Revenue - Consulting,Software Purchase,0,1300.15,78058
09-01-2024,7243,Software Subscriptions,Salary Expense,4822.97,0,73235
09-01-2024,7244,Revenue - Consulting,Equipment Purchase,0,4976.89,78212
09-01-2024,7245,Revenue - Consulting,Equipment Purchase,0,4639.79,82852
09-01-2024,7246,Equipment Purchase,Equipment Purchase,4061.16,0,78790
09-01-2024,7247,Accounts Payable,Salary Expense,554.24,0,78236
09-01-2024,7248,Revenue - Consulting,Cloud Service Renewal,0,4171.28,82408
09-01-2024,7249,Revenue - Consulting,Software Purchase,0,3115.76,85523
09-01-2024,7250,Equipment Purchase,Invoice Payment,2156.01,0,83367
09-01-2024,7251,Revenue - Consulting,Cloud Service Renewal,0,2056.06,85423
09-01-2024,7252,Revenue - Consulting,Invoice Payment,0,4033.25,89457
09-01-2024,7253,Salaries Expense,Maintenance Fee,2468.88,0,86988
09-01-2024,7254,Revenue - Consulting,Salary Expense,0,2560.97,89549
09-01-2024,7255,Equipment Purchase,Office Rent,2190.82,0,87358
09-01-2024,7256,Accounts Receivable,Cloud Service Renewal,0,1095.86,88454
09-01-2024,7257,Salaries Expense,Client Payment,4499.05,0,83955
09-01-2024,7258,Accounts Receivable,Maintenance Fee,0,1073,85028
09-01-2024,7259,Accounts Payable,Office Rent,681.28,0,84346
09-01-2024,7260,Salaries Expense,Salary Expense,3804.78,0,80542
09-01-2024,7261,Equipment Purchase,Salary Expense,328.93,0,80213
09-01-2024,7262,Salaries Expense,Maintenance Fee,4937.57,0,75275
09-01-2024,7263,Salaries Expense,Equipment Purchase,2781.48,0,72494
09-01-2024,7264,Revenue - Consulting,Software Purchase,0,589.9,73084
09-01-2024,7265,Equipment Purchase,Cloud Service Renewal,2583.46,0,70500
09-01-2024,7266,Accounts Payable,Office Rent,4528.45,0,65972
09-01-2024,7267,Salaries Expense,Office Rent,3899.72,0,62072
09-01-2024,7268,Revenue - Software Sales,Office Rent,0,1116.53,63188
09-01-2024,7269,Software Subscriptions,Office Rent,3121.58,0,60067
09-01-2024,7270,Office Rent,Invoice Payment,3726.78,0,56340
10-01-2024,7271,Revenue - Consulting,Invoice Payment,0,3923.42,60263
10-01-2024,7272,Revenue - Software Sales,Invoice Payment,0,2649.04,62913
10-01-2024,7273,Revenue - Consulting,Maintenance Fee,0,2435.59,65348
10-01-2024,7274,Office Rent,Equipment Purchase,1519.96,0,63828
10-01-2024,7275,Software Subscriptions,Equipment Purchase,156.76,0,63671
10-01-2024,7276,Accounts Payable,Invoice Payment,2649.47,0,61022
10-01-2024,7277,Revenue - Consulting,Software Purchase,0,735.35,61757
10-01-2024,7278,Salaries Expense,Cloud Service Renewal,1816.34,0,59941
10-01-2024,7279,Equipment Purchase,Client Payment,1733.38,0,58208
10-01-2024,7280,Revenue - Consulting,Maintenance Fee,0,4057.49,62265
10-01-2024,7281,Revenue - Consulting,Cloud Service Renewal,0,3846.13,66111
10-01-2024,7282,Salaries Expense,Equipment Purchase,3723.38,0,62388
10-01-2024,7283,Salaries Expense,Invoice Payment,1105.79,0,61282
10-01-2024,7284,Salaries Expense,Client Payment,4991.19,0,56291
10-01-2024,7285,Revenue - Consulting,Client Payment,0,3818.65,60109
10-01-2024,7286,Equipment Purchase,Salary Expense,2952.05,0,57157
10-01-2024,7287,Equipment Purchase,Salary Expense,3942.74,0,53215
10-01-2024,7288,Salaries Expense,Client Payment,3990.3,0,49224
10-01-2024,7289,Revenue - Consulting,Equipment Purchase,0,715.14,49940
10-01-2024,7290,Salaries Expense,Software Purchase,3976.98,0,45963
10-01-2024,7291,Office Rent,Maintenance Fee,1084.45,0,44878
10-01-2024,7292,Salaries Expense,Salary Expense,1833.06,0,43045
10-01-2024,7293,Revenue - Consulting,Maintenance Fee,0,2925.65,45971
10-01-2024,7294,Salaries Expense,Client Payment,4536.25,0,41434
10-01-2024,7295,Office Rent,Maintenance Fee,4435.38,0,36999
11-01-2024,7296,Salaries Expense,Cloud Service Renewal,1219.64,0,35779
11-01-2024,7297,Revenue - Consulting,Invoice Payment,0,2210.11,37990
11-01-2024,7298,Accounts Payable,Maintenance Fee,2483.15,0,35506
11-01-2024,7299,Salaries Expense,Cloud Service Renewal,431.6,0,35075
11-01-2024,7300,Salaries Expense,Invoice Payment,1740.63,0,33334
11-01-2024,7301,Accounts Payable,Client Payment,4236.6,0,29098
11-01-2024,7302,Revenue - Consulting,Maintenance Fee,0,4554.11,33652
11-01-2024,7303,Software Subscriptions,Salary Expense,4136.26,0,29515
11-01-2024,7304,Salaries Expense,Software Purchase,1410.08,0,28105
11-01-2024,7305,Accounts Receivable,Invoice Payment,0,3447.61,31553
11-01-2024,7306,Salaries Expense,Office Rent,727,0,30826
11-01-2024,7307,Salaries Expense,Client Payment,4219.37,0,26607
11-01-2024,7308,Software Subscriptions,Maintenance Fee,3711.36,0,22895
11-01-2024,7309,Revenue - Consulting,Software Purchase,0,4720.75,27616
11-01-2024,7310,Salaries Expense,Invoice Payment,1262.15,0,26354
11-01-2024,7311,Salaries Expense,Maintenance Fee,4121.68,0,22232
11-01-2024,7312,Revenue - Consulting,Equipment Purchase,0,4658.17,26890
11-01-2024,7313,Salaries Expense,Salary Expense,4208.59,0,22682
11-01-2024,7314,Salaries Expense,Equipment Purchase,4469.55,0,18212
11-01-2024,7315,Revenue - Software Sales,Salary Expense,0,4418.62,22631
11-01-2024,7316,Equipment Purchase,Software Purchase,4154.07,0,18477
11-01-2024,7317,Software Subscriptions,Maintenance Fee,4703.47,0,13773
11-01-2024,7318,Revenue - Consulting,Maintenance Fee,0,999.3,14773
11-01-2024,7319,Equipment Purchase,Equipment Purchase,3714.33,0,11058
11-01-2024,7320,Software Subscriptions,Salary Expense,2901.36,0,8157
12-01-2024,7321,Revenue - Consulting,Invoice Payment,0,2232.8,10390
12-01-2024,7322,Salaries Expense,Invoice Payment,3869.63,0,6520
12-01-2024,7323,Revenue - Software Sales,Client Payment,0,4411.12,10931
12-01-2024,7324,Revenue - Consulting,Invoice Payment,0,4366.88,15298
12-01-2024,7325,Equipment Purchase,Client Payment,1143.68,0,14154
12-01-2024,7326,Accounts Payable,Invoice Payment,3220.63,0,10934
12-01-2024,7327,Revenue - Consulting,Invoice Payment,0,4302.06,15236
12-01-2024,7328,Revenue - Consulting,Maintenance Fee,0,1567.91,16804
12-01-2024,7329,Revenue - Consulting,Invoice Payment,0,2563.26,19367
12-01-2024,7330,Accounts Payable,Client Payment,4979.05,0,14388
12-01-2024,7331,Software Subscriptions,Invoice Payment,482.26,0,13906
12-01-2024,7332,Revenue - Consulting,Salary Expense,0,3731.75,17637
12-01-2024,7333,Accounts Receivable,Equipment Purchase,0,3881.46,21519
12-01-2024,7334,Salaries Expense,Salary Expense,4226.46,0,17292
12-01-2024,7335,Equipment Purchase,Maintenance Fee,599.48,0,16693
12-01-2024,7336,Revenue - Software Sales,Client Payment,0,4138.84,20832
12-01-2024,7337,Revenue - Consulting,Office Rent,0,867.44,21699
12-01-2024,7338,Office Rent,Software Purchase,4565.03,0,17134
12-01-2024,7339,Revenue - Consulting,Invoice Payment,0,494.08,17628
12-01-2024,7340,Salaries Expense,Equipment Purchase,4080.64,0,13548
12-01-2024,7341,Revenue - Consulting,Cloud Service Renewal,0,303.03,13851
12-01-2024,7342,Salaries Expense,Office Rent,3167.99,0,10683
12-01-2024,7343,Revenue - Consulting,Client Payment,0,181.54,10864
12-01-2024,7344,Software Subscriptions,Equipment Purchase,1109.77,0,9754
12-01-2024,7345,Revenue - Consulting,Cloud Service Renewal,0,4452.57,14207
13-01-2024,7346,Revenue - Consulting,Cloud Service Renewal,0,4001.13,18208
13-01-2024,7347,Equipment Purchase,Office Rent,740.44,0,17468
13-01-2024,7348,Equipment Purchase,Client Payment,3413.57,0,14054
13-01-2024,7349,Accounts Receivable,Client Payment,0,1729.5,15784
13-01-2024,7350,Salaries Expense,Invoice Payment,1044.56,0,14739
13-01-2024,7351,Revenue - Consulting,Software Purchase,0,3333.38,18072
13-01-2024,7352,Accounts Payable,Office Rent,3747.77,0,14325
13-01-2024,7353,Revenue - Consulting,Cloud Service Renewal,0,227.21,14552
13-01-2024,7354,Revenue - Consulting,Maintenance Fee,0,3767.24,18319
13-01-2024,7355,Software Subscriptions,Maintenance Fee,4908.46,0,13411
13-01-2024,7356,Revenue - Consulting,Office Rent,0,3949.18,17360
13-01-2024,7357,Revenue - Consulting,Client Payment,0,1060.29,18420
13-01-2024,7358,Accounts Payable,Software Purchase,403.69,0,18016
13-01-2024,7359,Salaries Expense,Salary Expense,1996.63,0,16020
13-01-2024,7360,Accounts Receivable,Salary Expense,0,579.91,16600
13-01-2024,7361,Salaries Expense,Office Rent,2671.17,0,13928
13-01-2024,7362,Revenue - Consulting,Cloud Service Renewal,0,4559.23,18488
13-01-2024,7363,Office Rent,Client Payment,4415.4,0,14072
13-01-2024,7364,Equipment Purchase,Salary Expense,1727.45,0,12345
13-01-2024,7365,Accounts Payable,Software Purchase,3908.02,0,8437
13-01-2024,7366,Revenue - Consulting,Client Payment,0,1427.43,9864
13-01-2024,7367,Accounts Receivable,Maintenance Fee,0,2415.09,12279
13-01-2024,7368,Revenue - Consulting,Salary Expense,0,4935.74,17215
13-01-2024,7369,Revenue - Consulting,Equipment Purchase,0,805.95,18021
13-01-2024,7370,Salaries Expense,Office Rent,1145.78,0,16875
13-01-2024,7371,Salaries Expense,Client Payment,3346.68,0,13529
13-01-2024,7372,Accounts Receivable,Cloud Service Renewal,0,4128.1,17657
13-01-2024,7373,Salaries Expense,Office Rent,4622.56,0,13034
13-01-2024,7374,Salaries Expense,Invoice Payment,2369.83,0,10664
13-01-2024,7375,Accounts Receivable,Cloud Service Renewal,0,2262.92,12927
14-01-2024,7376,Revenue - Software Sales,Equipment Purchase,0,3912.64,16840
14-01-2024,7377,Revenue - Consulting,Software Purchase,0,2622.12,19462
14-01-2024,7378,Salaries Expense,Software Purchase,2211.31,0,17251
14-01-2024,7379,Office Rent,Office Rent,627,0,16624
