Invoice_no,Received Date,Processed Date,Amount,Assigned To,Date,Transaction Number,Trans Name,Transaction Description,Debit,Credit,Balance
INV030,27-12-2023,01-01-2024,2704.55,acctnt_4,01-01-2024,7029,Revenue - Consulting,Salary Expense,0,2704.55,7266
INV031,29-12-2023,01-01-2024,4126.31,acctnt_1,01-01-2024,7030,Revenue - Consulting,Cloud Service Renewal,0,4126.31,11392
INV032,29-12-2023,01-01-2024,817.78,acctnt_1,01-01-2024,7031,Revenue - Consulting,Equipment Purchase,0,817.78,12210
INV033,31-12-2023,02-01-2024,3196.68,acctnt_3,02-01-2024,7032,Salaries Expense,Software Purchase,3196.68,0,9013
INV034,01-01-2024,02-01-2024,722.92,acctnt_2,02-01-2024,7033,Revenue - Consulting,Client Payment,0,722.92,9736
INV035,01-01-2024,02-01-2024,4074.26,acctnt_1,02-01-2024,7034,Accounts Receivable,Client Payment,0,4074.26,13810
INV036,27-12-2023,02-01-2024,4678.22,acctnt_1,02-01-2024,7035,Salaries Expense,Salary Expense,4678.22,0,9132
INV037,31-12-2023,02-01-2024,1983.03,acctnt_1,02-01-2024,7036,Software Subscriptions,Client Payment,1983.03,0,7149
INV038,27-12-2023,02-01-2024,2420.61,acctnt_5,02-01-2024,7037,Revenue - Consulting,Cloud Service Renewal,0,2420.61,9570
INV039,26-12-2023,02-01-2024,1516.03,acctnt_4,02-01-2024,7038,Salaries Expense,Office Rent,1516.03,0,8054
INV040,27-12-2023,02-01-2024,176.53,acctnt_1,02-01-2024,7039,Salaries Expense,Equipment Purchase,176.53,0,7877
INV041,28-12-2023,02-01-2024,3406.49,acctnt_5,02-01-2024,7040,Salaries Expense,Software Purchase,3406.49,0,4471
INV042,01-01-2024,02-01-2024,699.54,acctnt_5,02-01-2024,7041,Salaries Expense,Software Purchase,699.54,0,3771
INV043,30-12-2023,02-01-2024,3087.74,acctnt_2,02-01-2024,7042,Revenue - Consulting,Invoice Payment,0,3087.74,6859
INV044,26-12-2023,02-01-2024,2769.84,acctnt_6,02-01-2024,7043,Revenue - Consulting,Software Purchase,0,2769.84,9629
INV045,26-12-2023,02-01-2024,1032.71,acctnt_4,02-01-2024,7044,Salaries Expense,Software Purchase,1032.71,0,8596
INV046,02-01-2024,02-01-2024,1423.47,acctnt_4,02-01-2024,7045,Salaries Expense,Software Purchase,1423.47,0,7173
INV047,27-12-2023,02-01-2024,4277.66,acctnt_1,02-01-2024,7046,Revenue - Software Sales,Client Payment,0,4277.66,11450
INV048,02-01-2024,02-01-2024,2361.53,acctnt_5,02-01-2024,7047,Office Rent,Salary Expense,2361.53,0,9089
INV049,29-12-2023,02-01-2024,1885.18,acctnt_4,02-01-2024,7048,Accounts Payable,Equipment Purchase,1885.18,0,7203
INV050,30-12-2023,02-01-2024,1283.74,acctnt_3,02-01-2024,7049,Salaries Expense,Equipment Purchase,1283.74,0,5920
INV051,30-12-2023,02-01-2024,2029.82,acctnt_4,02-01-2024,7050,Revenue - Software Sales,Invoice Payment,0,2029.82,7950
INV052,28-12-2023,02-01-2024,551.84,acctnt_1,02-01-2024,7051,Revenue - Software Sales,Office Rent,0,551.84,8501
INV053,29-12-2023,02-01-2024,2490.34,acctnt_6,02-01-2024,7052,Revenue - Consulting,Salary Expense,0,2490.34,10992
INV054,28-12-2023,02-01-2024,3056.32,acctnt_4,02-01-2024,7053,Revenue - Consulting,Maintenance Fee,0,3056.32,14048
INV055,31-12-2023,02-01-2024,4900.4,acctnt_5,02-01-2024,7054,Revenue - Consulting,Office Rent,0,4900.4,18948
INV056,31-12-2023,02-01-2024,4703.84,acctnt_4,02-01-2024,7055,Equipment Purchase,Cloud Service Renewal,4703.84,0,14245
INV057,30-12-2023,02-01-2024,3313.94,acctnt_5,02-01-2024,7056,Revenue - Software Sales,Office Rent,0,3313.94,17559
INV058,31-12-2023,03-01-2024,4663.18,acctnt_3,03-01-2024,7057,Software Subscriptions,Maintenance Fee,4663.18,0,12895
INV059,28-12-2023,03-01-2024,1737.51,acctnt_4,03-01-2024,7058,Revenue - Consulting,Cloud Service Renewal,0,1737.51,14633
INV060,28-12-2023,03-01-2024,684.38,acctnt_1,03-01-2024,7059,Salaries Expense,Cloud Service Renewal,684.38,0,13948
INV061,29-12-2023,03-01-2024,3486.4,acctnt_4,03-01-2024,7060,Salaries Expense,Office Rent,3486.4,0,10462
INV062,01-01-2024,03-01-2024,3692.74,acctnt_5,03-01-2024,7061,Accounts Payable,Office Rent,3692.74,0,6769
INV063,03-01-2024,03-01-2024,2316.13,acctnt_3,03-01-2024,7062,Accounts Payable,Client Payment,2316.13,0,4453
INV064,31-12-2023,03-01-2024,3769.35,acctnt_1,03-01-2024,7063,Revenue - Consulting,Software Purchase,0,3769.35,8223
INV065,31-12-2023,03-01-2024,521.69,acctnt_3,03-01-2024,7064,Revenue - Software Sales,Office Rent,0,521.69,8744
INV066,27-12-2023,03-01-2024,1008.66,acctnt_2,03-01-2024,7065,Salaries Expense,Office Rent,1008.66,0,7736
INV067,27-12-2023,03-01-2024,454.54,acctnt_1,03-01-2024,7066,Revenue - Consulting,Client Payment,0,454.54,8190
INV068,29-12-2023,03-01-2024,3741.59,acctnt_3,03-01-2024,7067,Revenue - Software Sales,Client Payment,0,3741.59,11932
INV069,30-12-2023,03-01-2024,4217.59,acctnt_5,03-01-2024,7068,Revenue - Software Sales,Office Rent,0,4217.59,16149
INV070,02-01-2024,03-01-2024,3879.72,acctnt_4,03-01-2024,7069,Software Subscriptions,Cloud Service Renewal,3879.72,0,12270
INV071,02-01-2024,03-01-2024,3460.57,acctnt_4,03-01-2024,7070,Accounts Payable,Invoice Payment,3460.57,0,8809
INV072,31-12-2023,03-01-2024,3614.96,acctnt_6,03-01-2024,7071,Office Rent,Office Rent,3614.96,0,5194
INV073,29-12-2023,03-01-2024,1817.58,acctnt_1,03-01-2024,7072,Revenue - Consulting,Cloud Service Renewal,0,1817.58,7012
INV074,27-12-2023,03-01-2024,3857.71,acctnt_6,03-01-2024,7073,Accounts Receivable,Client Payment,0,3857.71,10869
INV075,30-12-2023,03-01-2024,1515.7,acctnt_1,03-01-2024,7074,Revenue - Consulting,Salary Expense,0,1515.7,12385
INV076,30-12-2023,03-01-2024,2031.95,acctnt_6,03-01-2024,7075,Software Subscriptions,Maintenance Fee,2031.95,0,10353
INV077,03-01-2024,03-01-2024,4119.64,acctnt_5,03-01-2024,7076,Software Subscriptions,Office Rent,4119.64,0,6233
INV078,02-01-2024,03-01-2024,1320.4,acctnt_2,03-01-2024,7077,Salaries Expense,Cloud Service Renewal,1320.4,0,4913
INV079,02-01-2024,03-01-2024,4085.63,acctnt_5,03-01-2024,7078,Equipment Purchase,Client Payment,4085.63,0,827
INV080,03-01-2024,03-01-2024,3153.6,acctnt_4,03-01-2024,7079,Revenue - Consulting,Software Purchase,0,3153.6,3981
INV081,29-12-2023,03-01-2024,1240.63,acctnt_6,03-01-2024,7080,Revenue - Consulting,Software Purchase,0,1240.63,5222
INV082,01-01-2024,03-01-2024,4754.37,acctnt_4,03-01-2024,7081,Revenue - Software Sales,Invoice Payment,0,4754.37,9976
INV083,01-01-2024,03-01-2024,1130.7,acctnt_1,03-01-2024,7082,Revenue - Consulting,Equipment Purchase,0,1130.7,11107
INV084,29-12-2023,03-01-2024,2047.26,acctnt_1,03-01-2024,7083,Salaries Expense,Client Payment,2047.26,0,9059
INV085,29-12-2023,03-01-2024,3334.89,acctnt_5,03-01-2024,7084,Office Rent,Software Purchase,3334.89,0,5725
INV086,03-01-2024,03-01-2024,1800.75,acctnt_2,03-01-2024,7085,Accounts Receivable,Client Payment,0,1800.75,7525
INV087,03-01-2024,03-01-2024,4118.9,acctnt_1,03-01-2024,7086,Accounts Payable,Maintenance Fee,4118.9,0,3406
INV088,29-12-2023,03-01-2024,2716.61,acctnt_5,03-01-2024,7087,Revenue - Consulting,Software Purchase,0,2716.61,6123
INV089,02-01-2024,03-01-2024,4590.8,acctnt_6,03-01-2024,7088,Revenue - Consulting,Equipment Purchase,0,4590.8,10714
INV090,28-12-2023,03-01-2024,4154.76,acctnt_2,03-01-2024,7089,Office Rent,Equipment Purchase,4154.76,0,6559
INV091,29-12-2023,03-01-2024,4661.36,acctnt_1,03-01-2024,7090,Revenue - Consulting,Equipment Purchase,0,4661.36,11220
INV092,01-01-2024,03-01-2024,791.4,acctnt_3,03-01-2024,7091,Revenue - Consulting,Equipment Purchase,0,791.4,12012
INV093,02-01-2024,04-01-2024,1384.83,acctnt_2,04-01-2024,7092,Salaries Expense,Equipment Purchase,1384.83,0,10627
INV094,01-01-2024,04-01-2024,3533.31,acctnt_3,04-01-2024,7093,Revenue - Consulting,Invoice Payment,0,3533.31,14160
INV095,04-01-2024,04-01-2024,3072.44,acctnt_3,04-01-2024,7094,Equipment Purchase,Invoice Payment,3072.44,0,11088
INV096,31-12-2023,04-01-2024,4337.5,acctnt_4,04-01-2024,7095,Accounts Receivable,Software Purchase,0,4337.5,15425
INV097,03-01-2024,04-01-2024,497.25,acctnt_5,04-01-2024,7096,Revenue - Software Sales,Client Payment,0,497.25,15923
INV098,29-12-2023,04-01-2024,3001.65,acctnt_6,04-01-2024,7097,Salaries Expense,Office Rent,3001.65,0,12921
INV099,01-01-2024,04-01-2024,601,acctnt_1,04-01-2024,7098,Software Subscriptions,Software Purchase,601,0,12320
INV100,01-01-2024,04-01-2024,2951.95,acctnt_4,04-01-2024,7099,Revenue - Consulting,Office Rent,0,2951.95,15272
INV101,28-12-2023,04-01-2024,4350.6,acctnt_5,04-01-2024,7100,Accounts Receivable,Invoice Payment,0,4350.6,19623
INV102,31-12-2023,04-01-2024,2443.81,acctnt_2,04-01-2024,7101,Salaries Expense,Maintenance Fee,2443.81,0,17179
INV103,03-01-2024,04-01-2024,1959.42,acctnt_1,04-01-2024,7102,Salaries Expense,Equipment Purchase,1959.42,0,15219
INV104,01-01-2024,04-01-2024,1920.35,acctnt_1,04-01-2024,7103,Revenue - Consulting,Invoice Payment,0,1920.35,17140
INV105,28-12-2023,04-01-2024,2789.75,acctnt_2,04-01-2024,7104,Revenue - Consulting,Equipment Purchase,0,2789.75,19929
INV106,29-12-2023,04-01-2024,1136.58,acctnt_3,04-01-2024,7105,Revenue - Consulting,Cloud Service Renewal,0,1136.58,21066
INV107,04-01-2024,04-01-2024,2889.45,acctnt_4,04-01-2024,7106,Accounts Receivable,Office Rent,0,2889.45,23955
INV108,30-12-2023,04-01-2024,1931.86,acctnt_5,04-01-2024,7107,Revenue - Consulting,Office Rent,0,1931.86,25887
INV109,02-01-2024,04-01-2024,126.29,acctnt_6,04-01-2024,7108,Revenue - Consulting,Software Purchase,0,126.29,26014
INV110,03-01-2024,04-01-2024,3803.82,acctnt_4,04-01-2024,7109,Revenue - Consulting,Client Payment,0,3803.82,29817
INV111,03-01-2024,04-01-2024,4507.14,acctnt_1,04-01-2024,7110,Revenue - Consulting,Office Rent,0,4507.14,34325
INV112,29-12-2023,04-01-2024,4198.84,acctnt_4,04-01-2024,7111,Revenue - Consulting,Office Rent,0,4198.84,38523
INV113,01-01-2024,04-01-2024,655.88,acctnt_1,04-01-2024,7112,Software Subscriptions,Salary Expense,655.88,0,37868
INV114,03-01-2024,04-01-2024,3070.72,acctnt_1,04-01-2024,7113,Revenue - Consulting,Client Payment,0,3070.72,40938
INV115,29-12-2023,04-01-2024,4567.76,acctnt_3,04-01-2024,7114,Salaries Expense,Invoice Payment,4567.76,0,36370
INV116,04-01-2024,04-01-2024,200.15,acctnt_2,04-01-2024,7115,Revenue - Consulting,Client Payment,0,200.15,36571
INV117,31-12-2023,04-01-2024,2154.7,acctnt_2,04-01-2024,7116,Revenue - Consulting,Salary Expense,0,2154.7,38725
INV118,02-01-2024,04-01-2024,2845.85,acctnt_5,04-01-2024,7117,Salaries Expense,Cloud Service Renewal,2845.85,0,35879
INV119,04-01-2024,04-01-2024,1658.73,acctnt_3,04-01-2024,7118,Revenue - Consulting,Software Purchase,0,1658.73,37538
INV120,02-01-2024,04-01-2024,398.35,acctnt_5,04-01-2024,7119,Accounts Receivable,Equipment Purchase,0,398.35,37937
INV121,04-01-2024,04-01-2024,4658.61,acctnt_5,04-01-2024,7120,Accounts Receivable,Salary Expense,0,4658.61,42595
INV122,29-12-2023,05-01-2024,4267.28,acctnt_3,05-01-2024,7121,Equipment Purchase,Software Purchase,4267.28,0,38328
INV123,30-12-2023,05-01-2024,3635.55,acctnt_5,05-01-2024,7122,Revenue - Consulting,Maintenance Fee,0,3635.55,41963
INV124,04-01-2024,05-01-2024,1134.9,acctnt_1,05-01-2024,7123,Accounts Payable,Maintenance Fee,1134.9,0,40829
INV125,29-12-2023,05-01-2024,3722.72,acctnt_2,05-01-2024,7124,Software Subscriptions,Client Payment,3722.72,0,37106
INV126,01-01-2024,05-01-2024,3702.01,acctnt_2,05-01-2024,7125,Revenue - Consulting,Equipment Purchase,0,3702.01,40808
INV127,30-12-2023,05-01-2024,1116.36,acctnt_1,05-01-2024,7126,Revenue - Consulting,Software Purchase,0,1116.36,41924
INV128,01-01-2024,05-01-2024,1884.86,acctnt_5,05-01-2024,7127,Accounts Payable,Invoice Payment,1884.86,0,40039
INV129,02-01-2024,05-01-2024,3087.14,acctnt_3,05-01-2024,7128,Revenue - Consulting,Cloud Service Renewal,0,3087.14,43126
INV130,04-01-2024,05-01-2024,4227.62,acctnt_6,05-01-2024,7129,Accounts Receivable,Office Rent,0,4227.62,47354
INV131,02-01-2024,05-01-2024,2345.98,acctnt_2,05-01-2024,7130,Office Rent,Client Payment,2345.98,0,45008
INV132,02-01-2024,05-01-2024,2660.34,acctnt_4,05-01-2024,7131,Revenue - Consulting,Client Payment,0,2660.34,47668
INV133,29-12-2023,05-01-2024,1452.18,acctnt_5,05-01-2024,7132,Revenue - Consulting,Software Purchase,0,1452.18,49121
INV134,30-12-2023,05-01-2024,2054.85,acctnt_2,05-01-2024,7133,Software Subscriptions,Office Rent,2054.85,0,47066
INV135,01-01-2024,05-01-2024,3280.65,acctnt_5,05-01-2024,7134,Office Rent,Client Payment,3280.65,0,43785
INV136,02-01-2024,05-01-2024,1230.57,acctnt_5,05-01-2024,7135,Revenue - Consulting,Office Rent,0,1230.57,45016
INV137,05-01-2024,05-01-2024,460.04,acctnt_6,05-01-2024,7136,Accounts Receivable,Salary Expense,0,460.04,45476
INV138,02-01-2024,05-01-2024,1695.87,acctnt_6,05-01-2024,7137,Revenue - Consulting,Office Rent,0,1695.87,47172
INV139,03-01-2024,05-01-2024,606.39,acctnt_4,05-01-2024,7138,Office Rent,Maintenance Fee,606.39,0,46565
INV140,01-01-2024,05-01-2024,1910.05,acctnt_3,05-01-2024,7139,Equipment Purchase,Equipment Purchase,1910.05,0,44655
INV141,30-12-2023,05-01-2024,1383.34,acctnt_2,05-01-2024,7140,Software Subscriptions,Office Rent,1383.34,0,43272
INV142,30-12-2023,05-01-2024,2254.39,acctnt_3,05-01-2024,7141,Revenue - Consulting,Cloud Service Renewal,0,2254.39,45526
INV143,04-01-2024,05-01-2024,2153.91,acctnt_3,05-01-2024,7142,Revenue - Consulting,Software Purchase,0,2153.91,47680
INV144,30-12-2023,05-01-2024,3210.61,acctnt_2,05-01-2024,7143,Salaries Expense,Software Purchase,3210.61,0,44470
INV145,29-12-2023,05-01-2024,392.14,acctnt_4,05-01-2024,7144,Equipment Purchase,Invoice Payment,392.14,0,44077
INV146,31-12-2023,05-01-2024,4559.66,acctnt_5,05-01-2024,7145,Office Rent,Software Purchase,4559.66,0,39518
INV147,31-12-2023,06-01-2024,518.28,acctnt_3,06-01-2024,7146,Revenue - Consulting,Maintenance Fee,0,518.28,40036
INV148,06-01-2024,06-01-2024,1174.34,acctnt_1,06-01-2024,7147,Revenue - Software Sales,Office Rent,0,1174.34,41210
INV149,01-01-2024,06-01-2024,464.4,acctnt_4,06-01-2024,7148,Revenue - Consulting,Cloud Service Renewal,0,464.4,41675
INV150,03-01-2024,06-01-2024,626.22,acctnt_1,06-01-2024,7149,Revenue - Consulting,Office Rent,0,626.22,42301
INV151,30-12-2023,06-01-2024,883.71,acctnt_1,06-01-2024,7150,Accounts Receivable,Cloud Service Renewal,0,883.71,43185
INV152,02-01-2024,06-01-2024,3413.88,acctnt_6,06-01-2024,7151,Revenue - Software Sales,Equipment Purchase,0,3413.88,46599
INV153,04-01-2024,06-01-2024,2065.44,acctnt_3,06-01-2024,7152,Office Rent,Cloud Service Renewal,2065.44,0,44533
INV154,03-01-2024,06-01-2024,1773.84,acctnt_4,06-01-2024,7153,Salaries Expense,Office Rent,1773.84,0,42759
INV155,01-01-2024,06-01-2024,2142.06,acctnt_6,06-01-2024,7154,Accounts Payable,Client Payment,2142.06,0,40617
INV156,31-12-2023,06-01-2024,560.44,acctnt_1,06-01-2024,7155,Revenue - Consulting,Office Rent,0,560.44,41178
INV157,31-12-2023,06-01-2024,1493.01,acctnt_4,06-01-2024,7156,Office Rent,Equipment Purchase,1493.01,0,39685
INV158,01-01-2024,06-01-2024,3004.5,acctnt_1,06-01-2024,7157,Revenue - Consulting,Office Rent,0,3004.5,42689
INV159,06-01-2024,06-01-2024,3439.8,acctnt_3,06-01-2024,7158,Accounts Receivable,Salary Expense,0,3439.8,46129
INV160,31-12-2023,06-01-2024,2072.94,acctnt_2,06-01-2024,7159,Revenue - Consulting,Office Rent,0,2072.94,48202
INV161,31-12-2023,06-01-2024,2440.4,acctnt_2,06-01-2024,7160,Equipment Purchase,Equipment Purchase,2440.4,0,45761
INV162,05-01-2024,06-01-2024,1561.13,acctnt_4,06-01-2024,7161,Revenue - Consulting,Client Payment,0,1561.13,47323
INV163,06-01-2024,06-01-2024,183.32,acctnt_4,06-01-2024,7162,Revenue - Consulting,Client Payment,0,183.32,47506
INV164,01-01-2024,06-01-2024,1540.6,acctnt_4,06-01-2024,7163,Revenue - Consulting,Equipment Purchase,0,1540.6,49047
INV165,03-01-2024,06-01-2024,2201.43,acctnt_6,06-01-2024,7164,Revenue - Software Sales,Salary Expense,0,2201.43,51248
INV166,30-12-2023,06-01-2024,955.16,acctnt_1,06-01-2024,7165,Equipment Purchase,Invoice Payment,955.16,0,50293
INV167,31-12-2023,06-01-2024,3884.87,acctnt_5,06-01-2024,7166,Revenue - Consulting,Office Rent,0,3884.87,54178
INV168,03-01-2024,06-01-2024,1004.81,acctnt_6,06-01-2024,7167,Revenue - Consulting,Equipment Purchase,0,1004.81,55182
INV169,01-01-2024,06-01-2024,2561.17,acctnt_5,06-01-2024,7168,Revenue - Consulting,Client Payment,0,2561.17,57744
INV170,05-01-2024,06-01-2024,793.53,acctnt_1,06-01-2024,7169,Revenue - Consulting,Cloud Service Renewal,0,793.53,58537
INV171,02-01-2024,06-01-2024,200.89,acctnt_4,06-01-2024,7170,Revenue - Consulting,Maintenance Fee,0,200.89,58738
INV172,01-01-2024,06-01-2024,4478.64,acctnt_5,06-01-2024,7171,Revenue - Consulting,Maintenance Fee,0,4478.64,63217
INV173,01-01-2024,06-01-2024,821.21,acctnt_5,06-01-2024,7172,Salaries Expense,Maintenance Fee,821.21,0,62395
INV174,06-01-2024,06-01-2024,776.19,acctnt_2,06-01-2024,7173,Revenue - Consulting,Cloud Service Renewal,0,776.19,63172
INV175,01-01-2024,06-01-2024,2061.38,acctnt_6,06-01-2024,7174,Revenue - Consulting,Software Purchase,0,2061.38,65233
INV176,02-01-2024,06-01-2024,655.09,acctnt_6,06-01-2024,7175,Salaries Expense,Equipment Purchase,655.09,0,64578
INV177,01-01-2024,06-01-2024,3232.31,acctnt_2,06-01-2024,7176,Equipment Purchase,Equipment Purchase,3232.31,0,61346
INV178,05-01-2024,07-01-2024,3173.65,acctnt_1,07-01-2024,7177,Salaries Expense,Cloud Service Renewal,3173.65,0,58172
INV179,03-01-2024,07-01-2024,3751.65,acctnt_2,07-01-2024,7178,Revenue - Consulting,Client Payment,0,3751.65,61924
INV180,05-01-2024,07-01-2024,2192.71,acctnt_6,07-01-2024,7179,Accounts Payable,Cloud Service Renewal,2192.71,0,59731
INV181,07-01-2024,07-01-2024,1602.69,acctnt_3,07-01-2024,7180,Accounts Receivable,Client Payment,0,1602.69,61334
INV182,04-01-2024,07-01-2024,899.45,acctnt_2,07-01-2024,7181,Salaries Expense,Maintenance Fee,899.45,0,60434
INV183,05-01-2024,07-01-2024,4194.52,acctnt_3,07-01-2024,7182,Revenue - Consulting,Office Rent,0,4194.52,64629
INV184,03-01-2024,07-01-2024,1190.67,acctnt_1,07-01-2024,7183,Software Subscriptions,Office Rent,1190.67,0,63438
INV185,04-01-2024,07-01-2024,2705.54,acctnt_2,07-01-2024,7184,Revenue - Consulting,Client Payment,0,2705.54,66144
INV186,31-12-2023,07-01-2024,520.97,acctnt_1,07-01-2024,7185,Revenue - Consulting,Equipment Purchase,0,520.97,66665
INV187,05-01-2024,07-01-2024,403.35,acctnt_5,07-01-2024,7186,Salaries Expense,Salary Expense,403.35,0,66261
INV188,05-01-2024,07-01-2024,4059.85,acctnt_4,07-01-2024,7187,Salaries Expense,Invoice Payment,4059.85,0,62201
INV189,06-01-2024,07-01-2024,2214.37,acctnt_5,07-01-2024,7188,Accounts Payable,Equipment Purchase,2214.37,0,59987
INV190,03-01-2024,07-01-2024,3585.16,acctnt_5,07-01-2024,7189,Salaries Expense,Maintenance Fee,3585.16,0,56402
INV191,02-01-2024,07-01-2024,550.94,acctnt_1,07-01-2024,7190,Salaries Expense,Invoice Payment,550.94,0,55851
INV192,07-01-2024,07-01-2024,4603.9,acctnt_5,07-01-2024,7191,Revenue - Consulting,Office Rent,0,4603.9,60455
INV193,04-01-2024,07-01-2024,1068.46,acctnt_3,07-01-2024,7192,Salaries Expense,Software Purchase,1068.46,0,59386
INV194,06-01-2024,07-01-2024,3760.39,acctnt_1,07-01-2024,7193,Salaries Expense,Salary Expense,3760.39,0,55626
INV195,01-01-2024,07-01-2024,1427.78,acctnt_6,07-01-2024,7194,Software Subscriptions,Cloud Service Renewal,1427.78,0,54198
INV196,03-01-2024,07-01-2024,4343.8,acctnt_6,07-01-2024,7195,Revenue - Software Sales,Invoice Payment,0,4343.8,58542
INV197,04-01-2024,07-01-2024,1742.59,acctnt_4,07-01-2024,7196,Salaries Expense,Equipment Purchase,1742.59,0,56799
INV198,04-01-2024,07-01-2024,1370.55,acctnt_5,07-01-2024,7197,Revenue - Consulting,Equipment Purchase,0,1370.55,58170
INV199,07-01-2024,07-01-2024,2636.19,acctnt_2,07-01-2024,7198,Salaries Expense,Client Payment,2636.19,0,55534
INV200,02-01-2024,07-01-2024,2460.98,acctnt_4,07-01-2024,7199,Salaries Expense,Client Payment,2460.98,0,53073
INV201,01-01-2024,07-01-2024,473.21,acctnt_5,07-01-2024,7200,Revenue - Consulting,Equipment Purchase,0,473.21,53546
INV202,04-01-2024,07-01-2024,4014.39,acctnt_2,07-01-2024,7201,Equipment Purchase,Client Payment,4014.39,0,49532
INV203,01-01-2024,07-01-2024,2310.26,acctnt_1,07-01-2024,7202,Software Subscriptions,Software Purchase,2310.26,0,47221
INV204,31-12-2023,07-01-2024,2612.18,acctnt_4,07-01-2024,7203,Accounts Receivable,Office Rent,0,2612.18,49833
INV205,02-01-2024,07-01-2024,1311.8,acctnt_6,07-01-2024,7204,Revenue - Consulting,Equipment Purchase,0,1311.8,51145
INV206,02-01-2024,07-01-2024,3816.58,acctnt_1,07-01-2024,7205,Accounts Receivable,Salary Expense,0,3816.58,54962
INV207,31-12-2023,07-01-2024,3162.76,acctnt_5,07-01-2024,7206,Revenue - Consulting,Maintenance Fee,0,3162.76,58125
INV208,05-01-2024,07-01-2024,1252.72,acctnt_6,07-01-2024,7207,Salaries Expense,Salary Expense,1252.72,0,56872
INV209,07-01-2024,07-01-2024,1741.87,acctnt_2,07-01-2024,7208,Revenue - Software Sales,Salary Expense,0,1741.87,58614
